date,Private dwelling approvals,Private dwelling approvals trend,Private non-residential building approvals,Consumer sentiment,Business conditions,Participation rate,Year-ended employment growth,Employment to population ratio,Unemployment rate,target_next_month_unemployment_rate
2016-03-31,20.154,19.613,2214.985,99.1184376692937,9.08074660294763,64.9446123,2.12278611991177,61.2730755,5.6533355,5.6452025
2016-04-30,20.974,19.945,2315.253,95.1425110868608,6.37703870175193,64.9001607,2.1897571562898,61.2364152,5.6452025,5.7214072
2016-05-31,20.102,20.216,2761.493,103.184127157743,8.97674052006603,64.8445846,1.77482501133923,61.1345618,5.7214072,5.6949578
2016-06-30,18.213,20.245,2342.084,102.165171441437,8.30836497819503,64.8678065,2.00782949325653,61.1736123,5.6949578,5.6935558
2016-07-31,21.52,20.044,2604.475,99.1048877297659,7.53072576041223,64.9473234,2.00262279800827,61.2495113,5.6935558,5.6150796
2016-08-31,20.918,19.594,2488.201,101.044672245702,5.10693237475949,64.5795566,1.625144151553,60.9533631,5.6150796,5.6650763
2016-09-30,19.413,19.066,4513.81,101.357909693115,5.6288347688991,64.4445957,1.3446118691939,60.7937601,5.6650763,5.5972495
2016-10-31,16.481,18.481,2456.098,102.423356908164,2.70434127203767,64.4195741,0.84510212606894,60.8138498,5.5972495,5.7673703
2016-11-30,18.299,17.945,2705.76,101.268183572653,3.95060691591944,64.5974261,0.78813750338391,60.8718533,5.7673703,5.8364934
2016-12-31,18.219,17.531,2449.642,97.335084505156,9.16646976353993,64.7293328,0.92361918675394,60.9514095,5.8364934,5.6838697
2017-01-31,16.154,17.304,1918.862,97.42471,9.32823165762993,64.6206095,1.06307898462936,60.9476583,5.6838697,5.8933424
2017-02-28,18.854,17.282,2613.594,99.6362228991419,7.75230460959523,64.515877,0.74499970931625,60.7137355,5.8933424,5.8457463
2017-03-31,16.134,17.339,2431.62,99.7107847883027,11.4430643824814,64.6889928,1.12118818707572,60.9074384,5.8457463,5.6086497
2017-04-30,18.334,17.475,2829.065,99.0364749673705,11.1307864745336,64.7579916,1.54628330919866,61.1259427,5.6086497,5.5468256
2017-05-31,16.915,17.709,4064.336,97.9913732967392,11.9745706764704,64.8112758,1.86742042971728,61.2163073,5.5468256,5.6224716
2017-06-30,18.303,18.16,3275.679,96.233664860039,12.1584700795043,64.9618505,1.95875050855638,61.3093888,5.6224716,5.6056425
2017-07-31,19.226,18.729,3187.289,96.5959501418526,12.9701769955921,65.0491577,1.9742888078626,61.4027344,5.6056425,5.5298313
2017-08-31,18.734,19.26,2858.064,95.4539780798354,12.8960710089902,65.1672387,2.72701597751557,61.5636003,5.5298313,5.4639216
2017-09-30,19.76,19.603,4001.791,97.8675383588146,11.3834536649195,65.2424388,3.17628259262155,61.677643,5.4639216,5.4042026
2017-10-31,19.56,19.66,3779.619,101.351293157075,15.6075534230798,65.1555751,3.0453096804626,61.6344358,5.4042026,5.4543832
2017-11-30,23.065,19.537,3314.59,99.6765128629259,10.3697638727675,65.3523429,3.17859484279848,61.7877757,5.4543832,5.6166787
2017-12-31,17.619,19.27,2642.085,103.274843027132,11.2053099178231,65.5567489,3.16422116571013,61.8746369,5.6166787,5.5242204
2018-01-31,18.12,18.992,2239.743,105.131011626236,15.3398402732999,65.5826708,3.30747157289872,61.9597396,5.5242204,5.581643
2018-02-28,19.039,18.814,2766.365,102.74516731737,18.3635753540186,65.4227615,3.38479376646272,61.7710966,5.581643,5.5301044
2018-03-31,19.516,18.744,2387.58,102.956722388443,14.8643721575424,65.377917,3.03663219452235,61.7624499,5.5301044,5.5441053
2018-04-30,18.573,18.701,2165.75,102.381623286595,17.770938273565,65.4069536,2.70008156171186,61.7807233,5.5441053,5.4355346
2018-05-31,17.82,18.581,3142.763,101.778241277789,15.5632688661558,65.2128432,2.36302746399992,61.6681765,5.4355346,5.341531
2018-06-30,19.007,18.319,2572.173,102.130580705138,11.6877249822647,65.4373044,2.6627572056985,61.9419505,5.341531,5.2947148
2018-07-31,18.675,17.877,4122.211,106.063421304754,10.3238788412246,65.3105944,2.371075889908,61.8525847,5.2947148,5.2438151
2018-08-31,16.069,17.284,2860.797,103.632606041082,12.7348898202691,65.5045276,2.47404012324375,62.0695913,5.2438151,5.0199154
2018-09-30,16.655,16.591,2334.62,100.515308151834,11.2064018030897,65.3336325,2.2709676520254,62.0539394,5.0199154,5.0024041
2018-10-31,17.022,15.904,2846.32,101.491614419728,7.93387893847883,65.368235,2.42954637275534,62.0982517,5.0024041,5.1091307
2018-11-30,15.183,15.348,3042.721,104.34168801093,5.48520505901788,65.4696727,2.2326872219336,62.1247416,5.1091307,5.0177414
2018-12-31,13.993,15.015,2308.483,104.433525760993,-2.70885311660791,65.4655437,2.19476951283366,62.180652,5.0177414,5.049475
2019-01-31,13.641,14.904,2635.686,99.561347401591,4.89248103692941,65.6041804,2.22881919617102,62.2915137,5.049475,4.9927445
2019-02-28,16.776,14.883,2842.615,103.796476025306,3.06629390620635,65.5064006,2.44184264008143,62.2358334,4.9927445,5.0885642
2019-03-31,14.884,14.831,3291.008,98.8230468120427,5.6187221401736,65.5819108,2.46331935985664,62.2447332,5.0885642,5.2183059
2019-04-30,14.599,14.709,2399.966,100.652779083671,-0.65494300874669,65.7980693,2.61078674821071,62.3645248,5.2183059,5.1956542
2019-05-31,14.379,14.444,3775.231,101.270115371565,0.07193472900678,65.7494324,2.72730627491315,62.3333192,5.1956542,5.2588971
2019-06-30,14.406,14.092,3419.076,100.657861450469,-0.21141031719132,65.7947892,2.2563351233399,62.3347089,5.2588971,5.27564
2019-07-31,13.38,13.894,3579.952,96.5103073468359,-0.94341713560375,65.8752847,2.51038883595172,62.3999419,5.27564,5.2578534
2019-08-31,13.604,13.926,4012.334,99.9570000232976,-1.0224862184819,65.9977499,2.3602663995392,62.527685,5.2578534,5.2291371
2019-09-30,14.789,14.086,2725.312,98.2353367117696,-0.65489756121997,65.9819309,2.39172199510211,62.5316452,5.2291371,5.3033487
2019-10-31,13.854,14.224,2980.455,92.7935621520259,-0.02830558475645,65.7020805,1.81304660333879,62.21767,5.3033487,5.1727906
2019-11-30,14.974,14.351,2919.428,97.0005363657096,-0.81604489924575,65.6367631,1.81675419829976,62.2415108,5.1727906,5.039032
2019-12-31,15.644,14.444,2455.731,95.1306014779135,-2.66458612775312,65.7181685,2.0031497297562,62.4066089,5.039032,5.2488047
2020-01-31,12.613,14.426,2486.264,93.383086548139,1.07825205952652,65.7963971,1.70203248128624,62.3428727,5.2488047,5.1129664
2020-02-29,16.403,14.308,3507.319,95.5243734976056,-1.58750616938831,65.5971305,1.6147107146444,62.2431713,5.1129664,5.1977728
2020-03-31,15.069,14.143,2590.972,91.9415485656601,-25.9409528916451,65.528053,1.38704672477497,62.1220537,5.1977728,6.3000396
2020-04-30,14.902,13.978,2607.053,75.6437635906384,-41.2663484636684,63.3087131,-3.431687471528,59.3202391,6.3000396,6.9901678
2020-05-31,13.314,13.893,3037.725,88.0641143398551,-28.3379823336756,62.2307447,-5.78646174705917,57.8807113,6.9901678,7.4211888
2020-06-30,12.428,14.018,2817.76,93.6516092458472,-13.496789160158,63.6817867,-4.09805458809507,58.9558411,7.4211888,7.4355485
2020-07-31,14.965,14.415,2737.941,87.9215726110369,-5.73366711269131,64.4093789,-3.27819645168362,59.6201883,7.4355485,6.7940323
2020-08-31,14.296,15.037,2021.46,79.5317153023232,-7.92035904563002,64.6740991,-2.56777431112418,60.2801199,6.7940323,6.9285402
2020-09-30,15.878,15.735,2048.437,93.846665860335,0.4826116074499,64.6104598,-2.96977740716219,60.1338981,6.9285402,6.9501364
2020-10-31,17.128,16.353,3216.977,105.021205830664,1.75034281000947,65.3343517,-1.52255929988985,60.7935251,6.9501364,6.8117349
2020-11-30,17.631,16.86,2400.099,107.664980139566,7.39385978849453,65.6650578,-1.02744130515265,61.1921281,6.8117349,6.5588376
2020-12-31,18.417,17.312,2980.399,112.038540907645,13.9548036596261,65.7686376,-0.97776765866008,61.4549795,6.5588376,6.27618
2021-01-31,16.039,17.757,1623.055,106.98592476936,12.7150555880414,65.7733991,-0.69543237541408,61.6453422,6.27618,5.8471958
2021-02-28,19.81,20.241,2350.515,109.060267897401,18.8899772113451,65.7203659,-0.28791351664189,61.8775674,5.8471958,5.6726923
2021-03-31,22.412,20.433,3738.171,111.842892288837,23.20682109319,65.8824517,0.21190464720982,62.1451429,5.6726923,5.4638603
2021-04-30,20.61,20.405,2840.119,118.777301245172,25.0903761923903,65.681478,4.86922472462294,62.0927338,5.4638603,5.1115732
2021-05-31,21.013,20.068,3265.495,113.125491662859,32.0982367909824,65.8639948,8.19069835029798,62.4973085,5.1115732,5.0206784
2021-06-30,18.972,19.45,2659.262,107.212591756735,23.9817996437973,65.8737689,6.34800237788036,62.5664588,5.0206784,4.7231231
2021-07-31,18.552,18.738,2850.65,108.847040696016,3.96891128727173,65.7752914,5.38434859501598,62.6686435,4.7231231,4.5738579
2021-08-31,18.891,18.06,4647.945,104.092711861154,11.294931155824,64.9848557,3.18802945078993,62.0125407,4.5738579,4.7062648
2021-09-30,18.819,17.566,3268.482,106.225015285251,1.21893886452168,64.4252276,2.45412105607794,61.3932058,4.7062648,5.2375077
2021-10-31,15.827,17.189,3342.321,104.641998726868,6.69562647668613,64.4703251,0.9463151541297,61.0936868,5.2375077,4.634118
2021-11-30,16.328,16.821,3600.2,105.299988652098,9.13204500960023,65.8277987,3.15274730049369,62.7772608,4.634118,4.2091494
2021-12-31,16.726,16.491,2954.613,104.277124222046,8.50643850059423,65.8808608,3.3528097661642,63.1078369,4.2091494,4.1658528
2022-01-31,13.348,16.246,1706.997,102.201640119508,-0.41508281528761,66.0376859,3.51178166381292,63.2866531,4.1658528,4.0312021
2022-02-28,17.668,16.029,3137.38,100.823953334036,8.34764238920883,66.1757962,3.67021974308621,63.5081161,4.0312021,3.982495
2022-03-31,14.604,15.804,3186.311,96.6217978187373,13.9312674932578,66.1116261,3.36111112208983,63.478734,3.982495,3.8507828
2022-04-30,15.983,15.636,3094.809,95.7686449467424,16.5408011360165,66.2210415,3.87820528289415,63.671013,3.8507828,3.9397202
2022-05-31,16.414,15.581,3567.617,90.4075060393947,20.3959071257592,66.3655229,3.45101027745696,63.750907,3.9397202,3.6018694
2022-06-30,15.822,15.631,3332.511,86.3539684972761,15.0075728241082,66.4893555,4.00978760089648,64.0944958,3.6018694,3.4477906
2022-07-31,14.092,15.762,2927.651,83.7863443172962,19.7798415956233,66.2808976,3.88555338346428,63.995671,3.4477906,3.5276056
